date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:55:59	29502/29502	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Apr%202024%2006:25:57%20GMT	https://p.w3layouts.com/demos_new/template_demo/28-09-2017/apt_resume-demo_Free/1887007974/web/index.html?_gl=1*1asj0q5*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_EGV5GTJEP5*MTcxMzU5MjI0My4zLjEuMTcxMzU5MjQ1NS4wLjAuMA..*_ga_9HSZ46TKMQ*MTcxMzU5MjI0My4zLjEuMTcxMzU5MjQ2MS40NS4wLjA.*_ga_FFZF56TTWE*MTcxMzU5MjI0Ny4zLjEuMTcxMzU5MjQ1Ny4wLjAuMA..&_ga=2.210744400.413816310.1713592247-1878302848.1713427736	D:/genoviq/Ambuj/p.w3layouts.com/demos_new/template_demo/28-09-2017/apt_resume-demo_Free/1887007974/web/index7b23.html	(from )
11:56:00	1003/1003	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Apr%202024%2009:26:53%20GMT	https://p.w3layouts.com/robots.txt		(from )
11:56:00	146010/146010	---MCZ	200	added ('OK')	text/css	date:Thu,%2028%20Sep%202017%2010:57:12%20GMT	https://p.w3layouts.com/demos_new/template_demo/28-09-2017/apt_resume-demo_Free/1887007974/web/css/bootstrap.css	D:/genoviq/Ambuj/p.w3layouts.com/demos_new/template_demo/28-09-2017/apt_resume-demo_Free/1887007974/web/css/bootstrap.css	(from https://p.w3layouts.com/demos_new/template_demo/28-09-2017/apt_resume-demo_Free/1887007974/web/index.html?_gl=1*1asj0q5*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_EGV5GTJEP5*MTcxMzU5MjI0My4zLjEuMTcxMzU5MjQ1NS4wLjAuMA..*_ga_9HSZ46TKMQ*MTcxMzU5MjI0My4zLjEuMTcxMzU5MjQ2MS40NS4wLjA.*_ga_FFZF56TTWE*MTcxMzU5MjI0Ny4zLjEuMTcxMzU5MjQ1Ny4wLjAuMA..&_ga=2.210744400.413816310.1713592247-1878302848.1713427736)
11:56:01	35134/35134	---MCZ	200	added ('OK')	text/css	date:Thu,%2028%20Sep%202017%2010:57:12%20GMT	https://p.w3layouts.com/demos_new/template_demo/28-09-2017/apt_resume-demo_Free/1887007974/web/css/font-awesome.css	D:/genoviq/Ambuj/p.w3layouts.com/demos_new/template_demo/28-09-2017/apt_resume-demo_Free/1887007974/web/css/font-awesome.css	(from https://p.w3layouts.com/demos_new/template_demo/28-09-2017/apt_resume-demo_Free/1887007974/web/index.html?_gl=1*1asj0q5*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_EGV5GTJEP5*MTcxMzU5MjI0My4zLjEuMTcxMzU5MjQ1NS4wLjAuMA..*_ga_9HSZ46TKMQ*MTcxMzU5MjI0My4zLjEuMTcxMzU5MjQ2MS40NS4wLjA.*_ga_FFZF56TTWE*MTcxMzU5MjI0Ny4zLjEuMTcxMzU5MjQ1Ny4wLjAuMA..&_ga=2.210744400.413816310.1713592247-1878302848.1713427736)
11:56:01	33506/33506	---MCZ	200	added ('OK')	text/css	date:Thu,%2028%20Sep%202017%2010:57:12%20GMT	https://p.w3layouts.com/demos_new/template_demo/28-09-2017/apt_resume-demo_Free/1887007974/web/css/style.css	D:/genoviq/Ambuj/p.w3layouts.com/demos_new/template_demo/28-09-2017/apt_resume-demo_Free/1887007974/web/css/style.css	(from https://p.w3layouts.com/demos_new/template_demo/28-09-2017/apt_resume-demo_Free/1887007974/web/index.html?_gl=1*1asj0q5*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_EGV5GTJEP5*MTcxMzU5MjI0My4zLjEuMTcxMzU5MjQ1NS4wLjAuMA..*_ga_9HSZ46TKMQ*MTcxMzU5MjI0My4zLjEuMTcxMzU5MjQ2MS40NS4wLjA.*_ga_FFZF56TTWE*MTcxMzU5MjI0Ny4zLjEuMTcxMzU5MjQ1Ny4wLjAuMA..&_ga=2.210744400.413816310.1713592247-1878302848.1713427736)
11:56:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2020%20Apr%202024%2006:26:00%20GMT	http://m.servedby-buysellads.com/monetization.js	D:/genoviq/Ambuj/m.servedby-buysellads.com/monetization.4.delayed	(from https://p.w3layouts.com/demos_new/template_demo/28-09-2017/apt_resume-demo_Free/1887007974/web/index.html?_gl=1*1asj0q5*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_EGV5GTJEP5*MTcxMzU5MjI0My4zLjEuMTcxMzU5MjQ1NS4wLjAuMA..*_ga_9HSZ46TKMQ*MTcxMzU5MjI0My4zLjEuMTcxMzU5MjQ2MS40NS4wLjA.*_ga_FFZF56TTWE*MTcxMzU5MjI0Ny4zLjEuMTcxMzU5MjQ1Ny4wLjAuMA..&_ga=2.210744400.413816310.1713592247-1878302848.1713427736)
11:56:01	76292/76292	---MCZ	200	added ('OK')	application/javascript	etag:W/%226f645825fed21deb08b77e9954705f1e%22	https://m.servedby-buysellads.com/monetization.js	D:/genoviq/Ambuj/m.servedby-buysellads.com/monetization.js	(from https://p.w3layouts.com/demos_new/template_demo/28-09-2017/apt_resume-demo_Free/1887007974/web/index.html?_gl=1*1asj0q5*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_EGV5GTJEP5*MTcxMzU5MjI0My4zLjEuMTcxMzU5MjQ1NS4wLjAuMA..*_ga_9HSZ46TKMQ*MTcxMzU5MjI0My4zLjEuMTcxMzU5MjQ2MS40NS4wLjA.*_ga_FFZF56TTWE*MTcxMzU5MjI0Ny4zLjEuMTcxMzU5MjQ1Ny4wLjAuMA..&_ga=2.210744400.413816310.1713592247-1878302848.1713427736)
11:56:02	31000/31000	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20Jan%202021%2016:54:58%20GMT	https://p.w3layouts.com/assests/css/font-awesome.min.css	D:/genoviq/Ambuj/p.w3layouts.com/assests/css/font-awesome.min.css	(from https://p.w3layouts.com/demos_new/template_demo/28-09-2017/apt_resume-demo_Free/1887007974/web/index.html?_gl=1*1asj0q5*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_EGV5GTJEP5*MTcxMzU5MjI0My4zLjEuMTcxMzU5MjQ1NS4wLjAuMA..*_ga_9HSZ46TKMQ*MTcxMzU5MjI0My4zLjEuMTcxMzU5MjQ2MS40NS4wLjA.*_ga_FFZF56TTWE*MTcxMzU5MjI0Ny4zLjEuMTcxMzU5MjQ1Ny4wLjAuMA..&_ga=2.210744400.413816310.1713592247-1878302848.1713427736)
11:56:03	29502/29502	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Apr%202024%2006:26:01%20GMT	https://p.w3layouts.com/demos_new/template_demo/28-09-2017/apt_resume-demo_Free/1887007974/web/index.html	D:/genoviq/Ambuj/p.w3layouts.com/demos_new/template_demo/28-09-2017/apt_resume-demo_Free/1887007974/web/index.html	(from https://p.w3layouts.com/demos_new/template_demo/28-09-2017/apt_resume-demo_Free/1887007974/web/index.html?_gl=1*1asj0q5*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_EGV5GTJEP5*MTcxMzU5MjI0My4zLjEuMTcxMzU5MjQ1NS4wLjAuMA..*_ga_9HSZ46TKMQ*MTcxMzU5MjI0My4zLjEuMTcxMzU5MjQ2MS40NS4wLjA.*_ga_FFZF56TTWE*MTcxMzU5MjI0Ny4zLjEuMTcxMzU5MjQ1Ny4wLjAuMA..&_ga=2.210744400.413816310.1713592247-1878302848.1713427736)
11:56:03	33776/33776	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Nov%202019%2011:18:29%20GMT	https://p.w3layouts.com/demos_new/template_demo/28-09-2017/apt_resume-demo_Free/1887007974/web/images/1.jpg	D:/genoviq/Ambuj/p.w3layouts.com/demos_new/template_demo/28-09-2017/apt_resume-demo_Free/1887007974/web/images/1.jpg	(from https://p.w3layouts.com/demos_new/template_demo/28-09-2017/apt_resume-demo_Free/1887007974/web/index.html?_gl=1*1asj0q5*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_EGV5GTJEP5*MTcxMzU5MjI0My4zLjEuMTcxMzU5MjQ1NS4wLjAuMA..*_ga_9HSZ46TKMQ*MTcxMzU5MjI0My4zLjEuMTcxMzU5MjQ2MS40NS4wLjA.*_ga_FFZF56TTWE*MTcxMzU5MjI0Ny4zLjEuMTcxMzU5MjQ1Ny4wLjAuMA..&_ga=2.210744400.413816310.1713592247-1878302848.1713427736)
